method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout
mean_pca,0.5589115331174564,0.4276675649112891,0.0023914569992484758,,,,,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000
mice_pca,0.48152894352030506,0.36228697428786055,0.7596056129987119,,True,7.0,False,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000
vbpca_vb_modern,0.5338762850843038,0.40314188207194607,22.05847827100115,0.02900876620989595,,,,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000
mean_pca,0.5608469283022028,0.42598132551049195,0.001741501000651624,,,,,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000
mice_pca,0.48717640682451546,0.3605070492831902,0.7223312000005535,,True,7.0,False,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000
vbpca_vb_modern,0.5349795922475784,0.3987701999662479,26.15410352500112,0.02975093897087064,,,,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000
mean_pca,0.5261507271957228,0.39977884637501626,0.0019402670004637912,,,,,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000
mice_pca,0.4434693468287023,0.3229458699993108,0.7110589439998876,,True,7.0,False,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000
vbpca_vb_modern,0.48829844519154786,0.3582962083168942,20.94999456199912,0.025629708270549098,,,,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000
mean_pca,0.5655489427017282,0.43737445770819094,0.0016757739995227894,,,,,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000
mice_pca,0.4933976222504423,0.37199781461317827,0.7413913059990591,,True,7.0,False,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000
vbpca_vb_modern,0.5427423601137649,0.4133286706734518,22.74994262600012,0.032029102130480276,,,,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000
mean_pca,0.6030539678009972,0.47096645858767305,0.0020043759996042354,,,,,synthetic,MCAR,random,0.3,5,1000x50,0,969357255,1982868283,965220468,1000,50,15000
mice_pca,0.4488797518784767,0.33157013373348715,0.7874582589993224,,True,8.0,False,synthetic,MCAR,random,0.3,5,1000x50,0,969357255,1982868283,965220468,1000,50,15000
vbpca_vb_modern,0.5050889626786134,0.3757316298168156,18.186683412001003,0.03516273021773976,,,,synthetic,MCAR,random,0.3,5,1000x50,0,969357255,1982868283,965220468,1000,50,15000
mean_pca,0.635618913942264,0.49487147875645865,0.00208960800046043,,,,,synthetic,MCAR,random,0.3,5,1000x50,1,593938996,1693852805,1760409515,1000,50,15000
mice_pca,0.49613160900072273,0.3693091151449255,2.06556237499899,,True,13.0,True,synthetic,MCAR,random,0.3,5,1000x50,1,593938996,1693852805,1760409515,1000,50,15000
vbpca_vb_modern,0.5567807003382852,0.41860907681466,26.634956305999367,0.041270102574186396,,,,synthetic,MCAR,random,0.3,5,1000x50,1,593938996,1693852805,1760409515,1000,50,15000
mean_pca,0.5905776390596313,0.45902691525021183,0.0020244070001353975,,,,,synthetic,MCAR,random,0.3,5,1000x50,2,1850933495,1911030005,53841429,1000,50,15000
mice_pca,0.4399322093945262,0.32169098356610243,0.8658513369991852,,True,9.0,False,synthetic,MCAR,random,0.3,5,1000x50,2,1850933495,1911030005,53841429,1000,50,15000
vbpca_vb_modern,0.49350536081231705,0.36325390302471894,20.1898252459996,0.03377959013222502,,,,synthetic,MCAR,random,0.3,5,1000x50,2,1850933495,1911030005,53841429,1000,50,15000
mean_pca,0.6245388494408184,0.4876218915142653,0.002024115001404425,,,,,synthetic,MCAR,random,0.3,5,1000x50,3,1101595663,575885763,526057474,1000,50,15000
mice_pca,0.48141788506550787,0.35671310418250396,0.7745882809995237,,True,8.0,False,synthetic,MCAR,random,0.3,5,1000x50,3,1101595663,575885763,526057474,1000,50,15000
vbpca_vb_modern,0.5397434833461698,0.40546588164778197,15.817076174000249,0.039541256189653914,,,,synthetic,MCAR,random,0.3,5,1000x50,3,1101595663,575885763,526057474,1000,50,15000
mean_pca,0.7195643347375379,0.5678880525754658,0.0027559219997783657,,,,,synthetic,MCAR,random,0.5,5,1000x50,0,518022750,1770045348,1700981397,1000,50,25000
mice_pca,0.4924880088066487,0.37244679308947043,3.091170322000835,,True,27.0,True,synthetic,MCAR,random,0.5,5,1000x50,0,518022750,1770045348,1700981397,1000,50,25000
