method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout
mean_pca,0.5589115331174564,0.4276675649112891,0.0021784330001537455,,,,,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000
mice_pca,0.4815314718410962,0.3622888232364304,0.5053726730002381,,True,5.0,False,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000
vbpca_vb_modern,0.5338762850843038,0.40314188207194607,18.201793099000497,0.02900876620989595,,,,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000
mean_pca,0.5608469283022028,0.42598132551049195,0.0017417340004612925,,,,,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000
mice_pca,0.4871771477948597,0.3605075407605193,0.5149792689990136,,True,5.0,False,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000
vbpca_vb_modern,0.5349795922475784,0.3987701999662479,16.181640112001332,0.02975093897087064,,,,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000
mean_pca,0.5261507271957228,0.39977884637501626,0.0021356340002967045,,,,,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000
mice_pca,0.44347015379051846,0.3229463170478195,0.519798510000328,,True,5.0,False,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000
vbpca_vb_modern,0.48829844519154786,0.3582962083168942,24.62667783699908,0.025629708270549098,,,,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000
mean_pca,0.5655489427017282,0.43737445770819094,0.0021830089990544366,,,,,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000
mice_pca,0.4933978084282586,0.3719979397019054,0.511828228000013,,True,5.0,False,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000
vbpca_vb_modern,0.5427423601137649,0.4133286706734518,18.26658954999948,0.032029102130480276,,,,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000
mean_pca,0.6030539678009972,0.47096645858767305,0.002504826999938814,,,,,synthetic,MCAR,random,0.3,5,1000x50,0,969357255,1982868283,965220468,1000,50,15000
mice_pca,0.4488797613172426,0.33157015135710644,0.6772970930014708,,True,7.0,False,synthetic,MCAR,random,0.3,5,1000x50,0,969357255,1982868283,965220468,1000,50,15000
vbpca_vb_modern,0.5050889626786134,0.3757316298168156,25.591239887000484,0.03516273021773976,,,,synthetic,MCAR,random,0.3,5,1000x50,0,969357255,1982868283,965220468,1000,50,15000
mean_pca,0.635618913942264,0.49487147875645865,0.0019930809994548326,,,,,synthetic,MCAR,random,0.3,5,1000x50,1,593938996,1693852805,1760409515,1000,50,15000
mice_pca,0.49613173357068546,0.3693090916632901,0.832819051000115,,True,9.0,False,synthetic,MCAR,random,0.3,5,1000x50,1,593938996,1693852805,1760409515,1000,50,15000
vbpca_vb_modern,0.5567807003382852,0.41860907681466,16.485060514998622,0.041270102574186396,,,,synthetic,MCAR,random,0.3,5,1000x50,1,593938996,1693852805,1760409515,1000,50,15000
mean_pca,0.5905776390596313,0.45902691525021183,0.0019794759991782485,,,,,synthetic,MCAR,random,0.3,5,1000x50,2,1850933495,1911030005,53841429,1000,50,15000
mice_pca,0.4399317537670993,0.32169071693553186,0.6370537769998919,,True,7.0,False,synthetic,MCAR,random,0.3,5,1000x50,2,1850933495,1911030005,53841429,1000,50,15000
vbpca_vb_modern,0.49350536081231705,0.36325390302471894,16.87547108400031,0.03377959013222502,,,,synthetic,MCAR,random,0.3,5,1000x50,2,1850933495,1911030005,53841429,1000,50,15000
mean_pca,0.6245388494408184,0.4876218915142653,0.002079718000459252,,,,,synthetic,MCAR,random,0.3,5,1000x50,3,1101595663,575885763,526057474,1000,50,15000
mice_pca,0.48141771600783045,0.3567129692086298,0.6346374719996675,,True,7.0,False,synthetic,MCAR,random,0.3,5,1000x50,3,1101595663,575885763,526057474,1000,50,15000
vbpca_vb_modern,0.5397434833461698,0.40546588164778197,16.635870978998355,0.039541256189653914,,,,synthetic,MCAR,random,0.3,5,1000x50,3,1101595663,575885763,526057474,1000,50,15000
mean_pca,0.7195643347375379,0.5678880525754658,0.002304928000739892,,,,,synthetic,MCAR,random,0.5,5,1000x50,0,518022750,1770045348,1700981397,1000,50,25000
mice_pca,0.49254310427926873,0.3725143551655911,0.44218236400047317,,True,5.0,False,synthetic,MCAR,random,0.5,5,1000x50,0,518022750,1770045348,1700981397,1000,50,25000
vbpca_vb_modern,0.5637446726309414,0.4254159031976952,9.720925785999498,0.05655664768469938,,,,synthetic,MCAR,random,0.5,5,1000x50,0,518022750,1770045348,1700981397,1000,50,25000
mean_pca,0.7067496624732796,0.5579647128148411,0.0022306730006675934,,,,,synthetic,MCAR,random,0.5,5,1000x50,1,459052467,879613214,1592288369,1000,50,25000
mice_pca,0.4817373010091587,0.3619222374038084,0.3563947119982913,,True,4.0,False,synthetic,MCAR,random,0.5,5,1000x50,1,459052467,879613214,1592288369,1000,50,25000
vbpca_vb_modern,0.5514792630065968,0.4159186978037376,9.537559192998742,0.055205968580710515,,,,synthetic,MCAR,random,0.5,5,1000x50,1,459052467,879613214,1592288369,1000,50,25000
mean_pca,0.7088169948520091,0.5576380535350908,0.0022957069995754864,,,,,synthetic,MCAR,random,0.5,5,1000x50,2,318317950,1352786287,941907327,1000,50,25000
mice_pca,0.4674225318560625,0.35007590596777294,0.36275711999951454,,True,4.0,False,synthetic,MCAR,random,0.5,5,1000x50,2,318317950,1352786287,941907327,1000,50,25000
vbpca_vb_modern,0.5274058710077429,0.3968493746359315,9.650783340000999,0.05149737091926547,,,,synthetic,MCAR,random,0.5,5,1000x50,2,318317950,1352786287,941907327,1000,50,25000
mean_pca,0.7083498539825368,0.5607393172419527,0.002287182000145549,,,,,synthetic,MCAR,random,0.5,5,1000x50,3,1991591921,1587352716,498019042,1000,50,25000
mice_pca,0.4746956497487067,0.3595557957028298,0.515228563999699,,True,6.0,False,synthetic,MCAR,random,0.5,5,1000x50,3,1991591921,1587352716,498019042,1000,50,25000
vbpca_vb_modern,0.5439942254006306,0.412992910621662,10.871900038000604,0.05349065964764206,,,,synthetic,MCAR,random,0.5,5,1000x50,3,1991591921,1587352716,498019042,1000,50,25000
mean_pca,0.7312681511410137,0.5708728313923183,0.001319539000178338,,,,,synthetic,MCAR,block,0.1,5,1000x50,0,1793255565,1716108145,457504877,1000,50,5000
mice_pca,0.5422137099726765,0.40775288516191255,0.07876999300060561,,True,4.0,False,synthetic,MCAR,block,0.1,5,1000x50,0,1793255565,1716108145,457504877,1000,50,5000
vbpca_vb_modern,0.6431932519814294,0.48652495491447445,30.281326236001405,0.03155253146795287,,,,synthetic,MCAR,block,0.1,5,1000x50,0,1793255565,1716108145,457504877,1000,50,5000
mean_pca,0.7159643304827442,0.5586894574777982,0.0012716460005322006,,,,,synthetic,MCAR,block,0.1,5,1000x50,1,1112750942,1705426420,497261917,1000,50,5000
mice_pca,0.55303653079343,0.40770158813080143,0.24110184100027254,,True,10.0,False,synthetic,MCAR,block,0.1,5,1000x50,1,1112750942,1705426420,497261917,1000,50,5000
vbpca_vb_modern,0.6408858583275507,0.4798620415283387,34.21699031299977,0.03145108311539722,,,,synthetic,MCAR,block,0.1,5,1000x50,1,1112750942,1705426420,497261917,1000,50,5000
mean_pca,0.6502531128407317,0.5088147892842239,0.0012798200004908722,,,,,synthetic,MCAR,block,0.1,5,1000x50,2,525711219,356276112,16319298,1000,50,5000
mice_pca,0.4083108849677883,0.3027889299678565,0.21623640500001784,,True,9.0,False,synthetic,MCAR,block,0.1,5,1000x50,2,525711219,356276112,16319298,1000,50,5000
vbpca_vb_modern,0.5436566813335371,0.4014629408905653,23.77253193300021,0.02873390545388361,,,,synthetic,MCAR,block,0.1,5,1000x50,2,525711219,356276112,16319298,1000,50,5000
mean_pca,0.6728868456034872,0.527773872966721,0.0014477240001724567,,,,,synthetic,MCAR,block,0.1,5,1000x50,3,1068993669,34687563,1251391636,1000,50,5000
mice_pca,0.4973933866740676,0.3725595773245744,0.14455395500044688,,True,8.0,False,synthetic,MCAR,block,0.1,5,1000x50,3,1068993669,34687563,1251391636,1000,50,5000
vbpca_vb_modern,0.5671481601601187,0.4283207653959218,31.529880889000196,0.029616444371652107,,,,synthetic,MCAR,block,0.1,5,1000x50,3,1068993669,34687563,1251391636,1000,50,5000
mean_pca,1.862503798189216,1.51631297461269,0.0011836280009447364,,,,,synthetic,MCAR,block,0.3,5,1000x50,0,892880451,395862813,777045672,1000,50,11988
mice_pca,1.8625037981892212,1.5163129746126958,0.007695909000176471,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,0,892880451,395862813,777045672,1000,50,11988
vbpca_vb_modern,0.9898202607447443,0.7874367597810052,20.223595454999668,69.43984314267561,,,,synthetic,MCAR,block,0.3,5,1000x50,0,892880451,395862813,777045672,1000,50,11988
mean_pca,1.547631466288101,1.2581397562529644,0.0012103790013497928,,,,,synthetic,MCAR,block,0.3,5,1000x50,1,31986589,307974985,1011750904,1000,50,11988
mice_pca,1.5476314662881003,1.2581397562529646,0.007903739000539645,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,1,31986589,307974985,1011750904,1000,50,11988
vbpca_vb_modern,1.0401643991239893,0.8247429761789331,20.54898084100023,69.51566196627978,,,,synthetic,MCAR,block,0.3,5,1000x50,1,31986589,307974985,1011750904,1000,50,11988
mean_pca,1.197713654779389,0.9517871530348827,0.0012711380004475359,,,,,synthetic,MCAR,block,0.3,5,1000x50,2,166009390,1563890638,551657761,1000,50,11988
mice_pca,1.1977136547793916,0.9517871530348845,0.008021547999305767,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,2,166009390,1563890638,551657761,1000,50,11988
vbpca_vb_modern,0.9926405474733142,0.7842231901860157,20.560551757000212,68.83588162066218,,,,synthetic,MCAR,block,0.3,5,1000x50,2,166009390,1563890638,551657761,1000,50,11988
mean_pca,1.6038512161071152,1.2698170634176205,0.0012708790000033332,,,,,synthetic,MCAR,block,0.3,5,1000x50,3,1972679534,364416294,1343324047,1000,50,11988
mice_pca,1.6038512161070986,1.2698170634176082,0.007772888000545208,,True,1.0,False,synthetic,MCAR,block,0.3,5,1000x50,3,1972679534,364416294,1343324047,1000,50,11988
vbpca_vb_modern,0.9249366974681044,0.7284687064594357,20.55860460599979,68.17627568573366,,,,synthetic,MCAR,block,0.3,5,1000x50,3,1972679534,364416294,1343324047,1000,50,11988
mean_pca,1.4186856286948089,1.1490336060700044,0.001225625999722979,,,,,synthetic,MCAR,block,0.5,5,1000x50,0,1106683805,1969505726,1326696624,1000,50,11988
mice_pca,1.4186856286948106,1.1490336060700053,0.008206747999793151,,True,1.0,False,synthetic,MCAR,block,0.5,5,1000x50,0,1106683805,1969505726,1326696624,1000,50,11988
vbpca_vb_modern,0.9905613151774499,0.7823725711045789,25.709665172000314,69.66980409891812,,,,synthetic,MCAR,block,0.5,5,1000x50,0,1106683805,1969505726,1326696624,1000,50,11988
mean_pca,1.8546465952133162,1.5181286778063139,0.0012714229997072835,,,,,synthetic,MCAR,block,0.5,5,1000x50,1,1856908173,996800583,468458252,1000,50,11988
mice_pca,1.854646595213332,1.518128677806325,0.008452522999505163,,True,1.0,False,synthetic,MCAR,block,0.5,5,1000x50,1,1856908173,996800583,468458252,1000,50,11988
vbpca_vb_modern,0.9588916292054107,0.751183388621878,21.969642439999006,68.54314459795195,,,,synthetic,MCAR,block,0.5,5,1000x50,1,1856908173,996800583,468458252,1000,50,11988
mean_pca,1.5403062603302948,1.2553918708933682,0.0021270710003591375,,,,,synthetic,MCAR,block,0.5,5,1000x50,2,406430445,1859994493,436386690,1000,50,11988
mice_pca,1.540306260330291,1.2553918708933656,0.013741688000663999,,True,1.0,False,synthetic,MCAR,block,0.5,5,1000x50,2,406430445,1859994493,436386690,1000,50,11988
vbpca_vb_modern,0.9680593725072151,0.7686337959576259,24.171956873000454,70.21800692822131,,,,synthetic,MCAR,block,0.5,5,1000x50,2,406430445,1859994493,436386690,1000,50,11988
mean_pca,1.419721102596155,1.1143984858905596,0.002223186000264832,,,,,synthetic,MCAR,block,0.5,5,1000x50,3,1569277833,1132670987,596711166,1000,50,11988
mice_pca,1.4197211025961571,1.1143984858905622,0.014308282001366024,,True,1.0,False,synthetic,MCAR,block,0.5,5,1000x50,3,1569277833,1132670987,596711166,1000,50,11988
vbpca_vb_modern,1.0117218613680756,0.8023862888822545,24.26562553900112,68.05921235244867,,,,synthetic,MCAR,block,0.5,5,1000x50,3,1569277833,1132670987,596711166,1000,50,11988
mean_pca,0.582355482639348,0.44553167742495536,0.0020730329997604713,,,,,synthetic,MAR,random,0.1,5,1000x50,0,881793131,1711637996,972706137,1000,50,5000
mice_pca,0.5050782391093553,0.371760473063341,0.635014195999247,,True,5.0,False,synthetic,MAR,random,0.1,5,1000x50,0,881793131,1711637996,972706137,1000,50,5000
vbpca_vb_modern,0.5566941010206291,0.4140318178688536,26.05540087100053,0.03280758312714408,,,,synthetic,MAR,random,0.1,5,1000x50,0,881793131,1711637996,972706137,1000,50,5000
