dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.07193038165918413,0.08251124214707839,0.06852400629494804,-0.06676235039384154,0.19398666610444448,0.17,0.83
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.11141682774883659,-0.11348025478698415,0.05732049915078669,-0.21863648236235922,-0.014094012356252789,0.985,0.015
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.05700716136106762,0.06267361888950279,0.08840886725318375,-0.11497164869496285,0.2514853910645733,0.24,0.76
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.11742766695242253,-0.10827042833397271,0.0639604011794693,-0.2871405124229326,-0.023776914350221567,0.99,0.01
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-25.43134151194019,-28.843706361501972,4.271485823421255,-30.277730775503187,-19.35330453134866,1.0,0.0
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-25.419980296574906,-28.836470206006197,4.271755252980926,-30.26384195112187,-19.342682802526546,1.0,0.0
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,-0.0005165147560021793,0.0,0.007304621761987676,-1.0408340855860843e-16,2.0122792321330962e-16,0.09,0.21
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0005165147560021793,0.0,0.007304621761987676,-1.0408340855860843e-16,2.0122792321330962e-16,0.09,0.21
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,-0.000796216297894636,0.0,0.011260199051057724,-1.0408340855860843e-16,1.0408340855860843e-16,0.095,0.13
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.000796216297894636,0.0,0.011260199051057724,-1.0408340855860843e-16,1.0408340855860843e-16,0.095,0.13
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-23.219780337925332,-26.284007546004432,3.8786921483326737,-27.59043279327434,-17.66260194762708,1.0,0.0
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-23.21745460812963,-26.281673214005423,3.8786169202054173,-27.588005046321815,-17.660536000728825,1.0,0.0
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,-7.353911688962708e-05,0.0,0.001039997468598207,-1.0408340855860843e-16,2.0122792321330962e-16,0.06,0.205
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-7.353911688962708e-05,0.0,0.001039997468598207,-1.0408340855860843e-16,2.0122792321330962e-16,0.06,0.205
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,-7.658425702230152e-05,0.0,0.00108306684657304,-1.0408340855860843e-16,1.0408340855860843e-16,0.125,0.105
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-7.658425702230152e-05,0.0,0.00108306684657304,-1.0408340855860843e-16,1.0408340855860843e-16,0.125,0.105
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-23.343029103504996,-26.292941872499796,3.885071421718497,-27.622338623821634,-17.61127523895011,1.0,0.0
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-23.340677969929747,-26.29059202949793,3.884984993229521,-27.619926137820404,-17.60916812884734,1.0,0.0
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.08039184959442683,0.08079388716019753,0.01732658940812932,0.043727428385862445,0.11096603686702271,0.0,1.0
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.05967116531445168,-0.05896323423428995,0.011511774693422495,-0.08525170352447013,-0.039039211737764576,1.0,0.0
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.070968206168728,0.07300690655429959,0.022154148624065166,0.02463744030869863,0.10789960114491545,0.0,1.0
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.04543772475784278,-0.04438501874323836,0.01491789767124173,-0.07645743888504962,-0.019134161624367638,1.0,0.0
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-25.39755348413495,-28.65490887299893,4.2725519746867615,-30.209939534947807,-19.506456391854403,1.0,0.0
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-25.045183139545152,-28.32522493850047,4.256435245835321,-29.78934853615483,-19.19623038931768,1.0,0.0
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.08784032554007659,0.08816062106122957,0.012559552938123596,0.05900678707504654,0.10960070095396074,0.0,1.0
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.022182857192224584,-0.025056789473330066,0.019186091238849262,-0.05042276897079247,0.02086934228519179,0.88,0.12
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.08258502183571553,0.0838448104186506,0.015025735216535436,0.048586159453907894,0.10965873825193513,0.0,1.0
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.007340394281613753,-7.595401189725015e-05,0.03601087577098174,-0.037982615320960866,0.09777150235518571,0.5,0.5
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-21.135926403684863,-23.82538048600327,3.7303257515048336,-25.40171844454926,-16.041083595228702,1.0,0.0
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-20.671722205219993,-23.306604937002703,3.702388871010091,-24.947136323545966,-15.596004089751478,1.0,0.0
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.08546046199970042,0.08482158768190995,0.01081664458648664,0.06418924839688009,0.10528504274140268,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,0.03008592260595768,0.03009868208280203,0.014601153999312617,0.0055211973645694894,0.06765949631977129,0.01,0.99
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.08393035853612249,0.08375825268791365,0.013403316326960958,0.05511911370722835,0.10804615984322,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.061325041979969123,0.059009547883911995,0.023199350591437472,0.023817739371491852,0.10715079523452055,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-16.66941833418972,-18.857657055501477,2.834825353647374,-19.813618939971274,-12.605696313850967,1.0,0.0
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-16.23497984510992,-18.3448170915035,2.813800796649912,-19.333249105043613,-12.201289913096298,1.0,0.0
