dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.08876181109047905,0.09039626343948426,0.04467165951518164,0.003773785233864205,0.1516091547800825,0.0,1.0
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.08831051475266957,-0.10241119100088283,0.05329060459777647,-0.17062927192690963,-0.008276129052236373,0.95,0.05
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0828446560406036,0.08779482209571954,0.05094238530602944,-0.0025202216364831357,0.1496959493811002,0.1,0.9
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.07883688653633307,-0.07295784747343881,0.048761769750545955,-0.1822690349329775,-0.012238103023097238,1.0,0.0
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-21.583965844349585,-23.91015441950185,3.358782209156991,-24.278655226175214,-16.548355720799737,1.0,0.0
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-21.572233975099515,-23.902090437999505,3.355625537002987,-24.268960741798672,-16.5410617337001,1.0,0.0
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,2.5326962749261383e-17,0.0,5.56604562162239e-17,0.0,1.5838025335668236e-16,0.0,0.2
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,2.5326962749261383e-17,0.0,5.56604562162239e-17,0.0,1.5838025335668236e-16,0.0,0.2
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,9.020562075079397e-18,0.0,4.5311617555001375e-17,-5.828670879282071e-17,9.71445146547012e-17,0.05,0.15
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,9.020562075079397e-18,0.0,4.5311617555001375e-17,-5.828670879282071e-17,9.71445146547012e-17,0.05,0.15
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-19.410930715850373,-21.734914652501175,3.099936041451969,-22.07014038957423,-14.845218726876464,1.0,0.0
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-19.4084874098,-21.732341096498203,3.099872920087781,-22.067646429975415,-14.842923883125604,1.0,0.0
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,9.714451465470119e-18,0.0,4.344434768182728e-17,-5.1000870193718126e-17,9.71445146547012e-17,0.05,0.15
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,9.714451465470119e-18,0.0,4.344434768182728e-17,-5.1000870193718126e-17,9.71445146547012e-17,0.05,0.15
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,-9.714451465470119e-18,0.0,2.990045071786273e-17,-9.71445146547012e-17,0.0,0.1,0.0
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-9.714451465470119e-18,0.0,2.990045071786273e-17,-9.71445146547012e-17,0.0,0.1,0.0
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-18.81178976789979,-19.27581029400062,3.249209158253355,-22.263864915551313,-14.907161438647927,1.0,0.0
