dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.088761811090479,0.0903962634394842,0.0446716595151816,0.0037737852338642,0.1516091547800825,0.0,1.0,"[0.0038, 0.1516]"
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0883105147526695,-0.1024111910008828,0.0532906045977764,-0.1706292719269096,-0.0082761290522363,0.95,0.05,"[-0.1706, -0.0083]"
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0828446560406036,0.0877948220957195,0.0509423853060294,-0.0025202216364831,0.1496959493811002,0.1,0.9,"[-0.0025, 0.1497]"
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.078836886536333,-0.0729578474734388,0.0487617697505459,-0.1822690349329775,-0.0122381030230972,1.0,0.0,"[-0.1823, -0.0122]"
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-21.583965844349585,-23.91015441950185,3.358782209156991,-24.27865522617521,-16.548355720799737,1.0,0.0,"[-24.2787, -16.5484]"
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-21.572233975099515,-23.902090437999505,3.355625537002987,-24.268960741798672,-16.5410617337001,1.0,0.0,"[-24.2690, -16.5411]"
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,2.5326962749261386e-17,0.0,5.56604562162239e-17,0.0,1.5838025335668236e-16,0.0,0.2,"[0.0000, 0.0000]"
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,2.5326962749261386e-17,0.0,5.56604562162239e-17,0.0,1.5838025335668236e-16,0.0,0.2,"[0.0000, 0.0000]"
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,9.020562075079397e-18,0.0,4.531161755500138e-17,-5.828670879282071e-17,9.714451465470121e-17,0.05,0.15,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,9.020562075079397e-18,0.0,4.531161755500138e-17,-5.828670879282071e-17,9.714451465470121e-17,0.05,0.15,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-19.410930715850373,-21.73491465250117,3.099936041451969,-22.07014038957423,-14.845218726876464,1.0,0.0,"[-22.0701, -14.8452]"
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-19.4084874098,-21.732341096498203,3.099872920087781,-22.06764642997541,-14.842923883125604,1.0,0.0,"[-22.0676, -14.8429]"
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,9.71445146547012e-18,0.0,4.344434768182728e-17,-5.100087019371813e-17,9.714451465470121e-17,0.05,0.15,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,9.71445146547012e-18,0.0,4.344434768182728e-17,-5.100087019371813e-17,9.714451465470121e-17,0.05,0.15,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,-9.71445146547012e-18,0.0,2.990045071786273e-17,-9.714451465470121e-17,0.0,0.1,0.0,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-9.71445146547012e-18,0.0,2.990045071786273e-17,-9.714451465470121e-17,0.0,0.1,0.0,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-18.81178976789979,-19.27581029400062,3.249209158253355,-22.263864915551316,-14.907161438647927,1.0,0.0,"[-22.2639, -14.9072]"
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-18.80935442205009,-19.273283788999837,3.249164175391056,-22.26141415909906,-14.904889681273472,1.0,0.0,"[-22.2614, -14.9049]"
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0574854129642824,0.0583342772888451,0.0136114068963583,0.0359325478914373,0.0815135310798415,0.0,1.0,"[0.0359, 0.0815]"
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0570823585148847,-0.0571900243673543,0.0101598037440814,-0.0711322504151018,-0.0391893578232358,1.0,0.0,"[-0.0711, -0.0392]"
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0520776846300375,0.0515815878669041,0.0158989146780116,0.0266490420452887,0.0824499527906991,0.0,1.0,"[0.0266, 0.0824]"
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.036865925340924,-0.0368042472896952,0.0137113154646333,-0.0594556041440576,-0.0141855850283922,1.0,0.0,"[-0.0595, -0.0142]"
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-21.27746195355012,-23.968253912500582,3.4878999240756285,-24.34972489617521,-16.42965705099805,1.0,0.0,"[-24.3497, -16.4297]"
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-20.90888066410061,-23.48538516750159,3.430374713934065,-23.885320696498184,-16.146162963224107,1.0,0.0,"[-23.8853, -16.1462]"
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0685464539574894,0.0668082692617454,0.0113827872333567,0.0503745292838601,0.088328559797809,0.0,1.0,"[0.0504, 0.0883]"
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0210940524393015,-0.0254272518050453,0.0171619693023475,-0.0509456516482405,0.0103597966871695,0.85,0.15,"[-0.0509, 0.0104]"
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.068833687155352,0.0696807093816433,0.0141900978870018,0.0401600732128743,0.0909392938647546,0.0,1.0,"[0.0402, 0.0909]"
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.0101256293213077,0.0108040114417226,0.0219085683802561,-0.0291557617798916,0.0474105761357732,0.35,0.65,"[-0.0292, 0.0474]"
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-17.725451868550408,-19.836792599000542,2.850329789513748,-20.15523288344939,-13.528888218901283,1.0,0.0,"[-20.1552, -13.5289]"
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-17.249691250300383,-19.286629939499107,2.81881846145738,-19.69697788047797,-13.08055770669962,1.0,0.0,"[-19.6970, -13.0806]"
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0705340793169579,0.0701711388031717,0.0106734684351156,0.0517525110883765,0.088607903719136,0.0,1.0,"[0.0518, 0.0886]"
