dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,selected_k,count,total,fraction
diabetes,MAR,block,0.1,5,1000x50,8,12,20,0.6
diabetes,MAR,block,0.1,5,1000x50,9,7,20,0.35
diabetes,MAR,block,0.1,5,1000x50,10,1,20,0.05
diabetes,MAR,block,0.3,5,1000x50,7,11,20,0.55
diabetes,MAR,block,0.3,5,1000x50,8,1,20,0.05
diabetes,MAR,block,0.3,5,1000x50,9,8,20,0.4
diabetes,MAR,block,0.5,5,1000x50,6,1,20,0.05
diabetes,MAR,block,0.5,5,1000x50,7,6,20,0.3
diabetes,MAR,block,0.5,5,1000x50,8,6,20,0.3
diabetes,MAR,block,0.5,5,1000x50,9,7,20,0.35
diabetes,MAR,random,0.1,5,1000x50,8,20,20,1.0
diabetes,MAR,random,0.3,5,1000x50,8,20,20,1.0
diabetes,MAR,random,0.5,5,1000x50,8,20,20,1.0
diabetes,MCAR,block,0.1,5,1000x50,8,14,20,0.7
diabetes,MCAR,block,0.1,5,1000x50,9,6,20,0.3
diabetes,MCAR,block,0.3,5,1000x50,7,10,20,0.5
diabetes,MCAR,block,0.3,5,1000x50,8,4,20,0.2
diabetes,MCAR,block,0.3,5,1000x50,9,6,20,0.3
diabetes,MCAR,block,0.5,5,1000x50,7,9,20,0.45
diabetes,MCAR,block,0.5,5,1000x50,8,4,20,0.2
diabetes,MCAR,block,0.5,5,1000x50,9,7,20,0.35
diabetes,MCAR,random,0.1,5,1000x50,8,20,20,1.0
diabetes,MCAR,random,0.3,5,1000x50,8,20,20,1.0
diabetes,MCAR,random,0.5,5,1000x50,7,2,20,0.1
diabetes,MCAR,random,0.5,5,1000x50,8,18,20,0.9
synthetic,MAR,block,0.1,5,1000x50,20,2,20,0.1
synthetic,MAR,block,0.1,5,1000x50,21,4,20,0.2
synthetic,MAR,block,0.1,5,1000x50,22,2,20,0.1
synthetic,MAR,block,0.1,5,1000x50,23,3,20,0.15
synthetic,MAR,block,0.1,5,1000x50,24,8,20,0.4
synthetic,MAR,block,0.1,5,1000x50,25,1,20,0.05
synthetic,MAR,block,0.3,5,1000x50,18,1,20,0.05
synthetic,MAR,block,0.3,5,1000x50,19,5,20,0.25
synthetic,MAR,block,0.3,5,1000x50,20,3,20,0.15
synthetic,MAR,block,0.3,5,1000x50,21,4,20,0.2
synthetic,MAR,block,0.3,5,1000x50,22,7,20,0.35
synthetic,MAR,block,0.5,5,1000x50,18,2,20,0.1
synthetic,MAR,block,0.5,5,1000x50,19,3,20,0.15
synthetic,MAR,block,0.5,5,1000x50,20,7,20,0.35
synthetic,MAR,block,0.5,5,1000x50,21,4,20,0.2
synthetic,MAR,block,0.5,5,1000x50,22,2,20,0.1
synthetic,MAR,block,0.5,5,1000x50,23,2,20,0.1
synthetic,MAR,random,0.1,5,1000x50,22,3,20,0.15
synthetic,MAR,random,0.1,5,1000x50,23,6,20,0.3
synthetic,MAR,random,0.1,5,1000x50,24,7,20,0.35
synthetic,MAR,random,0.1,5,1000x50,25,3,20,0.15
synthetic,MAR,random,0.1,5,1000x50,27,1,20,0.05
synthetic,MAR,random,0.3,5,1000x50,20,1,20,0.05
synthetic,MAR,random,0.3,5,1000x50,21,1,20,0.05
synthetic,MAR,random,0.3,5,1000x50,22,5,20,0.25
synthetic,MAR,random,0.3,5,1000x50,23,3,20,0.15
synthetic,MAR,random,0.3,5,1000x50,24,6,20,0.3
synthetic,MAR,random,0.3,5,1000x50,25,3,20,0.15
synthetic,MAR,random,0.3,5,1000x50,26,1,20,0.05
synthetic,MAR,random,0.5,5,1000x50,20,5,20,0.25
synthetic,MAR,random,0.5,5,1000x50,21,6,20,0.3
synthetic,MAR,random,0.5,5,1000x50,22,4,20,0.2
synthetic,MAR,random,0.5,5,1000x50,23,5,20,0.25
synthetic,MCAR,block,0.1,5,1000x50,21,1,20,0.05
synthetic,MCAR,block,0.1,5,1000x50,22,8,20,0.4
synthetic,MCAR,block,0.1,5,1000x50,23,5,20,0.25
synthetic,MCAR,block,0.1,5,1000x50,24,3,20,0.15
synthetic,MCAR,block,0.1,5,1000x50,25,2,20,0.1
synthetic,MCAR,block,0.1,5,1000x50,26,1,20,0.05
synthetic,MCAR,block,0.3,5,1000x50,19,5,20,0.25
synthetic,MCAR,block,0.3,5,1000x50,20,8,20,0.4
synthetic,MCAR,block,0.3,5,1000x50,21,3,20,0.15
synthetic,MCAR,block,0.3,5,1000x50,22,4,20,0.2
synthetic,MCAR,block,0.5,5,1000x50,19,3,20,0.15
synthetic,MCAR,block,0.5,5,1000x50,20,6,20,0.3
synthetic,MCAR,block,0.5,5,1000x50,21,7,20,0.35
synthetic,MCAR,block,0.5,5,1000x50,22,4,20,0.2
synthetic,MCAR,random,0.1,5,1000x50,22,3,20,0.15
synthetic,MCAR,random,0.1,5,1000x50,23,5,20,0.25
synthetic,MCAR,random,0.1,5,1000x50,24,8,20,0.4
synthetic,MCAR,random,0.1,5,1000x50,25,1,20,0.05
synthetic,MCAR,random,0.1,5,1000x50,26,2,20,0.1
synthetic,MCAR,random,0.1,5,1000x50,27,1,20,0.05
synthetic,MCAR,random,0.3,5,1000x50,22,6,20,0.3
synthetic,MCAR,random,0.3,5,1000x50,23,8,20,0.4
synthetic,MCAR,random,0.3,5,1000x50,24,5,20,0.25
synthetic,MCAR,random,0.3,5,1000x50,25,1,20,0.05
synthetic,MCAR,random,0.5,5,1000x50,18,1,20,0.05
synthetic,MCAR,random,0.5,5,1000x50,19,6,20,0.3
synthetic,MCAR,random,0.5,5,1000x50,20,5,20,0.25
synthetic,MCAR,random,0.5,5,1000x50,21,4,20,0.2
synthetic,MCAR,random,0.5,5,1000x50,22,4,20,0.2
wine,MAR,block,0.1,5,1000x50,8,6,20,0.3
wine,MAR,block,0.1,5,1000x50,9,14,20,0.7
wine,MAR,block,0.3,5,1000x50,6,3,20,0.15
wine,MAR,block,0.3,5,1000x50,7,14,20,0.7
wine,MAR,block,0.3,5,1000x50,8,3,20,0.15
wine,MAR,block,0.5,5,1000x50,6,4,20,0.2
wine,MAR,block,0.5,5,1000x50,7,12,20,0.6
wine,MAR,block,0.5,5,1000x50,8,4,20,0.2
wine,MAR,random,0.1,5,1000x50,8,7,20,0.35
wine,MAR,random,0.1,5,1000x50,9,13,20,0.65
