dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0719303816591841,0.0825112421470783,0.068524006294948,-0.0667623503938415,0.1939866661044444,0.17,0.83,"[-0.0668, 0.1940]"
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.1114168277488365,-0.1134802547869841,0.0573204991507866,-0.2186364823623592,-0.0140940123562527,0.985,0.015,"[-0.2186, -0.0141]"
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0570071613610676,0.0626736188895027,0.0884088672531837,-0.1149716486949628,0.2514853910645733,0.24,0.76,"[-0.1150, 0.2515]"
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.1174276669524225,-0.1082704283339727,0.0639604011794693,-0.2871405124229326,-0.0237769143502215,0.99,0.01,"[-0.2871, -0.0238]"
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-25.43134151194019,-28.84370636150197,4.271485823421255,-30.277730775503187,-19.35330453134866,1.0,0.0,"[-30.2777, -19.3533]"
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-25.419980296574906,-28.8364702060062,4.271755252980926,-30.26384195112187,-19.342682802526543,1.0,0.0,"[-30.2638, -19.3427]"
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,-0.0005165147560021,0.0,0.0073046217619876,-1.0408340855860844e-16,2.012279232133096e-16,0.09,0.21,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0005165147560021,0.0,0.0073046217619876,-1.0408340855860844e-16,2.012279232133096e-16,0.09,0.21,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,-0.0007962162978946,0.0,0.0112601990510577,-1.0408340855860844e-16,1.0408340855860844e-16,0.095,0.13,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.0007962162978946,0.0,0.0112601990510577,-1.0408340855860844e-16,1.0408340855860844e-16,0.095,0.13,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-23.21978033792533,-26.284007546004432,3.8786921483326737,-27.59043279327434,-17.66260194762708,1.0,0.0,"[-27.5904, -17.6626]"
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-23.21745460812963,-26.281673214005423,3.878616920205417,-27.58800504632181,-17.660536000728825,1.0,0.0,"[-27.5880, -17.6605]"
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,-7.353911688962708e-05,0.0,0.0010399974685982,-1.0408340855860844e-16,2.012279232133096e-16,0.06,0.205,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-7.353911688962708e-05,0.0,0.0010399974685982,-1.0408340855860844e-16,2.012279232133096e-16,0.06,0.205,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,-7.658425702230152e-05,0.0,0.001083066846573,-1.0408340855860844e-16,1.0408340855860844e-16,0.125,0.105,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-7.658425702230152e-05,0.0,0.001083066846573,-1.0408340855860844e-16,1.0408340855860844e-16,0.125,0.105,"[-0.0000, 0.0000]"
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-23.343029103505,-26.2929418724998,3.885071421718497,-27.622338623821637,-17.61127523895011,1.0,0.0,"[-27.6223, -17.6113]"
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-23.340677969929747,-26.29059202949793,3.884984993229521,-27.619926137820404,-17.60916812884734,1.0,0.0,"[-27.6199, -17.6092]"
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0803918495944268,0.0807938871601975,0.0173265894081293,0.0437274283858624,0.1109660368670227,0.0,1.0,"[0.0437, 0.1110]"
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0596711653144516,-0.0589632342342899,0.0115117746934224,-0.0852517035244701,-0.0390392117377645,1.0,0.0,"[-0.0853, -0.0390]"
