dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,selected_k,count,total,fraction
diabetes,MAR,block,0.1,5,1000x50,6,200,200,1.0
diabetes,MAR,block,0.3,5,1000x50,6,200,200,1.0
diabetes,MAR,block,0.5,5,1000x50,6,200,200,1.0
diabetes,MAR,random,0.1,5,1000x50,6,200,200,1.0
diabetes,MAR,random,0.3,5,1000x50,6,200,200,1.0
diabetes,MAR,random,0.5,5,1000x50,6,200,200,1.0
diabetes,MCAR,block,0.1,5,1000x50,6,200,200,1.0
diabetes,MCAR,block,0.3,5,1000x50,6,200,200,1.0
diabetes,MCAR,block,0.5,5,1000x50,6,200,200,1.0
diabetes,MCAR,random,0.1,5,1000x50,6,200,200,1.0
diabetes,MCAR,random,0.3,5,1000x50,6,200,200,1.0
diabetes,MCAR,random,0.5,5,1000x50,6,200,200,1.0
synthetic,MAR,block,0.1,5,1000x50,6,200,200,1.0
synthetic,MAR,block,0.3,5,1000x50,6,200,200,1.0
synthetic,MAR,block,0.5,5,1000x50,6,200,200,1.0
synthetic,MAR,random,0.1,5,1000x50,6,200,200,1.0
synthetic,MAR,random,0.3,5,1000x50,6,200,200,1.0
synthetic,MAR,random,0.5,5,1000x50,6,200,200,1.0
synthetic,MCAR,block,0.1,5,1000x50,6,200,200,1.0
synthetic,MCAR,block,0.3,5,1000x50,6,200,200,1.0
synthetic,MCAR,block,0.5,5,1000x50,6,200,200,1.0
synthetic,MCAR,random,0.1,5,1000x50,6,200,200,1.0
synthetic,MCAR,random,0.3,5,1000x50,6,200,200,1.0
synthetic,MCAR,random,0.5,5,1000x50,6,200,200,1.0
wine,MAR,block,0.1,5,1000x50,6,200,200,1.0
wine,MAR,block,0.3,5,1000x50,6,200,200,1.0
wine,MAR,block,0.5,5,1000x50,6,200,200,1.0
wine,MAR,random,0.1,5,1000x50,6,200,200,1.0
wine,MAR,random,0.3,5,1000x50,6,200,200,1.0
wine,MAR,random,0.5,5,1000x50,6,200,200,1.0
wine,MCAR,block,0.1,5,1000x50,6,200,200,1.0
wine,MCAR,block,0.3,5,1000x50,6,200,200,1.0
wine,MCAR,block,0.5,5,1000x50,6,200,200,1.0
wine,MCAR,random,0.1,5,1000x50,6,200,200,1.0
wine,MCAR,random,0.3,5,1000x50,6,200,200,1.0
wine,MCAR,random,0.5,5,1000x50,5,1,200,0.005
wine,MCAR,random,0.5,5,1000x50,6,199,200,0.995
