dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,trace_k,rms_mean,rms_ci_low,rms_ci_high
diabetes,MAR,block,0.1,5,1000x50,1,0.776934535152776,0.7626856846002997,0.7936885753014585
diabetes,MAR,block,0.1,5,1000x50,2,0.6874327055112234,0.6641918279579578,0.7196294605978455
diabetes,MAR,block,0.1,5,1000x50,3,0.602110796736056,0.5649141936695403,0.6468649718385272
diabetes,MAR,block,0.1,5,1000x50,4,0.5186852072436305,0.48155872610588474,0.5650585426958237
diabetes,MAR,block,0.1,5,1000x50,5,0.4524568176751447,0.4059061513075543,0.5117959947879224
diabetes,MAR,block,0.1,5,1000x50,6,0.3594114263813332,0.2965883831086576,0.43850187680182967
diabetes,MAR,block,0.3,5,1000x50,1,0.7734935039815848,0.7424712950013357,0.8149920777746869
diabetes,MAR,block,0.3,5,1000x50,2,0.6762848059982212,0.6209727896841313,0.7495100334100273
diabetes,MAR,block,0.3,5,1000x50,3,0.5897021346018682,0.5186922092643814,0.6909268525354573
diabetes,MAR,block,0.3,5,1000x50,4,0.502084671840493,0.4055831545782857,0.6319686258094734
diabetes,MAR,block,0.3,5,1000x50,5,0.4180969665744908,0.2935226103388713,0.6059422886627124
diabetes,MAR,block,0.3,5,1000x50,6,0.2814917025143104,0.11439751398177986,0.5660681314243238
diabetes,MAR,block,0.5,5,1000x50,1,0.7723763056054923,0.7352516428511165,0.8062191084720842
diabetes,MAR,block,0.5,5,1000x50,2,0.6748306079806785,0.6183665103964593,0.7174201333546626
diabetes,MAR,block,0.5,5,1000x50,3,0.5888158102683695,0.5032594871460375,0.6518771955294502
diabetes,MAR,block,0.5,5,1000x50,4,0.5027126683377006,0.4172552215465959,0.5801797841441781
diabetes,MAR,block,0.5,5,1000x50,5,0.41894619401242233,0.3013022649007764,0.5354392514287657
diabetes,MAR,block,0.5,5,1000x50,6,0.283139321963751,0.11440713182462915,0.47699537303453104
diabetes,MAR,random,0.1,5,1000x50,1,0.7762062104009582,0.7707532664950533,0.78158817301736
diabetes,MAR,random,0.1,5,1000x50,2,0.6876074643169103,0.6806011356098803,0.6947268584060835
diabetes,MAR,random,0.1,5,1000x50,3,0.6015011477197735,0.5934448151419125,0.608112388656216
diabetes,MAR,random,0.1,5,1000x50,4,0.5172748170681835,0.5059816886765645,0.5261894323951325
diabetes,MAR,random,0.1,5,1000x50,5,0.4558596301880916,0.4442318201039873,0.466366344837656
diabetes,MAR,random,0.1,5,1000x50,6,0.3731133590559532,0.3602941513359159,0.38554386377538835
diabetes,MAR,random,0.3,5,1000x50,1,0.7676008850675694,0.7551639690860751,0.7790387753482378
diabetes,MAR,random,0.3,5,1000x50,2,0.6780596842866287,0.6646439219123537,0.6907708605501668
diabetes,MAR,random,0.3,5,1000x50,3,0.5888048294619944,0.5745579316523606,0.6074689273963088
diabetes,MAR,random,0.3,5,1000x50,4,0.5001193567681522,0.4803373384825549,0.5199199190927439
diabetes,MAR,random,0.3,5,1000x50,5,0.4271636177718628,0.4055315788613274,0.4499823463508887
diabetes,MAR,random,0.3,5,1000x50,6,0.333559576284498,0.30521654009064136,0.3587113506913322
diabetes,MAR,random,0.5,5,1000x50,1,0.754806383487465,0.7355467529587827,0.7743850963198676
diabetes,MAR,random,0.5,5,1000x50,2,0.6586525956539845,0.6344142283861592,0.6876787821061695
diabetes,MAR,random,0.5,5,1000x50,3,0.565141810471643,0.5378188437111207,0.5927940227343353
diabetes,MAR,random,0.5,5,1000x50,4,0.4752627032885193,0.4426943128691603,0.504417790506225
diabetes,MAR,random,0.5,5,1000x50,5,0.39269331720463685,0.3585116125299611,0.42316082026394647
diabetes,MAR,random,0.5,5,1000x50,6,0.29597353942451216,0.2610000440336293,0.3320742563369275
diabetes,MCAR,block,0.1,5,1000x50,1,0.7767172221029446,0.7622781063705163,0.7928603214989585
diabetes,MCAR,block,0.1,5,1000x50,2,0.6866606411922964,0.6608478832572436,0.7108804715641565
diabetes,MCAR,block,0.1,5,1000x50,3,0.6006409640506596,0.5669278673320131,0.6348939071369152
diabetes,MCAR,block,0.1,5,1000x50,4,0.5156355306036696,0.47996959919206256,0.5584860848781255
diabetes,MCAR,block,0.1,5,1000x50,5,0.44840314695307476,0.4036483309087238,0.5058150795585845
diabetes,MCAR,block,0.1,5,1000x50,6,0.35614002124301664,0.30113998465489267,0.431369949591524
diabetes,MCAR,block,0.3,5,1000x50,1,0.7719783207037695,0.7424130527530263,0.8150161063192849
diabetes,MCAR,block,0.3,5,1000x50,2,0.6765163572334287,0.6209706558961521,0.721562027602614
diabetes,MCAR,block,0.3,5,1000x50,3,0.5891824538746756,0.5186667513774161,0.6560847896134654
diabetes,MCAR,block,0.3,5,1000x50,4,0.5027340155835371,0.41726759260020113,0.6024379645596373
diabetes,MCAR,block,0.3,5,1000x50,5,0.41968624342116806,0.3012762625022092,0.5559356849926923
diabetes,MCAR,block,0.3,5,1000x50,6,0.28420760657074384,0.11420872671571451,0.4943766524015628
diabetes,MCAR,block,0.5,5,1000x50,1,0.7747150478946702,0.7426217575352784,0.8150188339568464
diabetes,MCAR,block,0.5,5,1000x50,2,0.6783584646517169,0.6305513275274559,0.7217241252086405
diabetes,MCAR,block,0.5,5,1000x50,3,0.5917027861077616,0.5191347229855844,0.656081760637746
diabetes,MCAR,block,0.5,5,1000x50,4,0.5037267947752677,0.42493167006631877,0.6022435472740229
diabetes,MCAR,block,0.5,5,1000x50,5,0.4193047819355557,0.3012947573456223,0.5556605931313374
diabetes,MCAR,block,0.5,5,1000x50,6,0.28243107682077695,0.11419071267162993,0.4939560595052571
diabetes,MCAR,random,0.1,5,1000x50,1,0.7776656124272147,0.7720161100687422,0.7829208574672047
diabetes,MCAR,random,0.1,5,1000x50,2,0.6888502666729606,0.6823706010840925,0.6952721325514124
diabetes,MCAR,random,0.1,5,1000x50,3,0.6027067179629512,0.5957286095535191,0.610370398555332
diabetes,MCAR,random,0.1,5,1000x50,4,0.5180044953430096,0.5092457154290765,0.5283419160398419
diabetes,MCAR,random,0.1,5,1000x50,5,0.4556346191029795,0.4456683777924612,0.4677963712898416
diabetes,MCAR,random,0.1,5,1000x50,6,0.3742020257417846,0.3606036714859354,0.38786794346667147
diabetes,MCAR,random,0.3,5,1000x50,1,0.7709050295867198,0.7615650771330853,0.7792730105078658
diabetes,MCAR,random,0.3,5,1000x50,2,0.6820340808347636,0.6684962371300622,0.6952408900349663
diabetes,MCAR,random,0.3,5,1000x50,3,0.593285917528906,0.5753757002516573,0.6123372453985594
diabetes,MCAR,random,0.3,5,1000x50,4,0.5014970529748956,0.4809596232619849,0.5190106144191294
diabetes,MCAR,random,0.3,5,1000x50,5,0.42766906459917187,0.4040559024333222,0.4491235880983189
diabetes,MCAR,random,0.3,5,1000x50,6,0.33417599712244206,0.30511830831541,0.35989624752739313
diabetes,MCAR,random,0.5,5,1000x50,1,0.7611977854995939,0.7422660741484124,0.7785897716657959
diabetes,MCAR,random,0.5,5,1000x50,2,0.6674746782051898,0.6414979613085432,0.688099868684019
diabetes,MCAR,random,0.5,5,1000x50,3,0.5719417150960792,0.5397822147691802,0.6024472933699796
diabetes,MCAR,random,0.5,5,1000x50,4,0.4764759739329897,0.43771382825512006,0.5141332036099344
diabetes,MCAR,random,0.5,5,1000x50,5,0.390719447826391,0.34596970862042264,0.4417394270329082
diabetes,MCAR,random,0.5,5,1000x50,6,0.2981774910610326,0.23960450116347393,0.3555169760626105
synthetic,MAR,block,0.1,5,1000x50,1,0.8895561998271007,0.8682903643692984,0.9071904019333914
synthetic,MAR,block,0.1,5,1000x50,2,0.7855895276607892,0.7540002094283734,0.8117531339525897
