method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,vbpca_selected_k,k_used,dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods
mean_pca,0.6263510585516759,0.4618118568056423,0.0026442570015206,,,,,22,22,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.0773600421308312,0.057366816849711,0.48368678399856435,,True,5.0,False,22,22,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.07627935782480695,0.05608282869887275,790.2687658839932,0.0011049281311851695,,,,22,22,synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6574978510077737,0.48132217114589576,0.003211869996448513,,,,,23,23,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.07449830139723243,0.05671852916477353,0.6400052219978534,,True,5.0,False,23,23,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.07304035265698795,0.055435552966526566,831.6127747780047,0.0010506789750410047,,,,23,23,synthetic,MCAR,random,0.1,5,1000x50,1,115579757,1952249162,473219222,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6714278987126966,0.5048576538701238,0.003956378001021221,,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.0744056597124433,0.05510776316649344,0.7495364849964972,,True,5.0,False,24,24,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.07277589685939703,0.053746282338151784,1265.8221829069953,0.0010458200347358987,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6572724406943187,0.491584538835731,0.003309676998469513,,,,,25,25,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.06251366791085712,0.04861279447339634,0.7254442710036528,,True,5.0,False,25,25,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.06165750258194403,0.04786002324401299,1323.7470902610003,0.0008898301077180209,,,,25,25,synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.670864867138501,0.49971676446725344,0.0036525319956126623,,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.07452577647099691,0.05657788767686312,0.7541043289966183,,True,5.0,False,24,24,synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True
