dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods,trace_k,trace_rms,trace_prms,trace_cost
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,1,0.8747198128358691,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,2,0.7747787639397895,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,3,0.668600037651849,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,4,0.5726602320205987,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,5,0.47338335424825156,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,6,0.37003873449560953,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,7,0.25217827890524314,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,8,0.062100476933052304,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,9,0.05403424171889257,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,10,0.0515658701159117,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,11,0.050037471599019785,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,12,0.04843213284064193,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,13,0.047020146588721716,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,14,0.045865214126697584,,
synthetic,MCAR,random,0.1,5,1000x50,0,33158374,1465339467,1273345680,1000,50,5000,zscore_observed_only,True,True,15,0.04469786940540809,,
